VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
2,09/24/2018 12:08:01 AM,09/24/2018 12:21:27 AM,N,1,95,28,5,0.83,9.5,0.5,0.5,2.7,0,,0.3,13.5,1,1
2,09/24/2018 12:08:43 AM,09/24/2018 12:31:17 AM,N,1,80,74,1,10,29.5,0.5,0.5,9.24,0,,0.3,40.04,1,1
2,09/24/2018 12:09:47 AM,09/24/2018 12:15:13 AM,N,1,93,95,1,1.45,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,09/24/2018 12:09:49 AM,09/24/2018 12:38:35 AM,N,1,181,216,1,9.97,30,0.5,0.5,0,0,,0.3,31.3,2,1
1,09/24/2018 12:10:01 AM,09/24/2018 12:24:13 AM,N,1,74,47,1,4.5,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,09/24/2018 12:10:03 AM,09/24/2018 12:22:57 AM,N,1,181,72,1,3.66,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,09/24/2018 12:10:13 AM,09/24/2018 12:33:06 AM,N,1,82,14,1,14.69,40.5,0.5,0.5,8.36,0,,0.3,50.16,1,1
1,09/24/2018 12:10:15 AM,09/24/2018 12:14:17 AM,N,1,145,112,1,1.1,5.5,0.5,0.5,1.7,0,,0.3,8.5,1,1
2,09/24/2018 12:10:18 AM,09/24/2018 12:26:12 AM,N,1,255,36,1,4.03,15,0.5,0.5,0,0,,0.3,16.3,2,1
1,09/24/2018 12:10:28 AM,09/24/2018 12:24:24 AM,N,1,130,139,1,5,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,09/24/2018 12:10:43 AM,09/24/2018 12:25:08 AM,N,1,42,4,1,8.24,23.5,0.5,0.5,0,0,,0.3,24.8,2,1
1,09/24/2018 12:10:51 AM,09/24/2018 12:17:44 AM,N,1,97,61,1,1.7,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,09/24/2018 12:10:55 AM,09/24/2018 12:34:48 AM,N,1,97,42,1,12.3,35,0.5,0.5,7.25,0,,0.3,43.55,1,1
2,09/24/2018 12:10:58 AM,09/24/2018 12:22:08 AM,N,1,112,226,1,2.88,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1
2,09/24/2018 12:11:10 AM,09/24/2018 12:22:35 AM,N,1,66,80,1,4.45,15,0.5,0.5,3.26,0,,0.3,19.56,1,1
2,09/24/2018 12:11:37 AM,09/24/2018 12:26:23 AM,N,1,41,246,2,5.93,18.5,0.5,0.5,2.97,0,,0.3,24.72,1,1
2,09/24/2018 12:11:37 AM,09/24/2018 12:17:06 AM,N,1,41,42,1,1.33,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,09/24/2018 12:11:43 AM,09/24/2018 12:23:35 AM,N,1,74,167,1,3,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,09/24/2018 12:11:49 AM,09/24/2018 12:24:36 AM,N,1,260,112,1,4.79,16,0.5,0.5,3.46,0,,0.3,20.76,1,1
1,09/24/2018 12:11:57 AM,09/24/2018 12:20:39 AM,N,1,260,129,1,1.5,8,0.5,0.5,1.85,0,,0.3,11.15,1,1
2,09/24/2018 12:12:35 AM,09/24/2018 12:17:04 AM,N,1,112,80,1,0.73,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,09/24/2018 12:12:50 AM,09/24/2018 12:27:24 AM,N,1,255,226,2,3.1,13,0.5,0.5,0,0,,0.3,14.3,2,1
